n:130 mse_avg:340.27 mse_y:499.89 mse_u:16.39 mse_v:25.70 psnr_avg:22.81 psnr_y:21.14 psnr_u:35.99 psnr_v:34.03 
n:131 mse_avg:330.75 mse_y:485.98 mse_u:15.80 mse_v:24.81 psnr_avg:22.94 psnr_y:21.26 psnr_u:36.14 psnr_v:34.18 
n:132 mse_avg:372.19 mse_y:547.93 mse_u:15.48 mse_v:25.94 psnr_avg:22.42 psnr_y:20.74 psnr_u:36.23 psnr_v:33.99 
n:133 mse_avg:402.55 mse_y:593.44 mse_u:14.95 mse_v:26.57 psnr_avg:22.08 psnr_y:20.40 psnr_u:36.38 psnr_v:33.89 
n:134 mse_avg:417.45 mse_y:615.68 mse_u:14.62 mse_v:27.33 psnr_avg:21.92 psnr_y:20.24 psnr_u:36.48 psnr_v:33.76 
n:135 mse_avg:401.64 mse_y:592.48 mse_u:13.89 mse_v:26.05 psnr_avg:22.09 psnr_y:20.40 psnr_u:36.70 psnr_v:33.97 
n:136 mse_avg:384.02 mse_y:566.34 mse_u:13.46 mse_v:25.32 psnr_avg:22.29 psnr_y:20.60 psnr_u:36.84 psnr_v:34.10 
n:137 mse_avg:355.54 mse_y:524.18 mse_u:12.85 mse_v:23.67 psnr_avg:22.62 psnr_y:20.94 psnr_u:37.04 psnr_v:34.39 
n:138 mse_avg:338.68 mse_y:499.01 mse_u:12.71 mse_v:23.30 psnr_avg:22.83 psnr_y:21.15 psnr_u:37.09 psnr_v:34.46 
n:139 mse_avg:309.17 mse_y:455.25 mse_u:12.31 mse_v:21.71 psnr_avg:23.23 psnr_y:21.55 psnr_u:37.23 psnr_v:34.76 
n:140 mse_avg:313.48 mse_y:461.67 mse_u:12.47 mse_v:21.74 psnr_avg:23.17 psnr_y:21.49 psnr_u:37.17 psnr_v:34.76 
n:141 mse_avg:309.65 mse_y:456.14 mse_u:12.29 mse_v:21.07 psnr_avg:23.22 psnr_y:21.54 psnr_u:37.23 psnr_v:34.89 
n:142 mse_avg:312.55 mse_y:460.35 mse_u:12.53 mse_v:21.37 psnr_avg:23.18 psnr_y:21.50 psnr_u:37.15 psnr_v:34.83 
n:143 mse_avg:320.91 mse_y:472.99 mse_u:12.49 mse_v:20.99 psnr_avg:23.07 psnr_y:21.38 psnr_u:37.17 psnr_v:34.91 
n:144 mse_avg:322.57 mse_y:475.44 mse_u:12.73 mse_v:20.92 psnr_avg:23.04 psnr_y:21.36 psnr_u:37.08 psnr_v:34.93 
n:145 mse_avg:315.73 mse_y:465.37 mse_u:12.72 mse_v:20.21 psnr_avg:23.14 psnr_y:21.45 psnr_u:37.09 psnr_v:35.07 
n:146 mse_avg:317.80 mse_y:468.33 mse_u:12.92 mse_v:20.59 psnr_avg:23.11 psnr_y:21.43 psnr_u:37.02 psnr_v:35.00 
n:147 mse_avg:301.73 mse_y:444.57 mse_u:12.76 mse_v:19.30 psnr_avg:23.33 psnr_y:21.65 psnr_u:37.07 psnr_v:35.27 
n:148 mse_avg:277.72 mse_y:408.69 mse_u:12.78 mse_v:18.76 psnr_avg:23.69 psnr_y:22.02 psnr_u:37.07 psnr_v:35.40 
n:149 mse_avg:265.78 mse_y:391.00 mse_u:12.60 mse_v:18.05 psnr_avg:23.89 psnr_y:22.21 psnr_u:37.13 psnr_v:35.57 
n:150 mse_avg:278.91 mse_y:410.64 mse_u:12.89 mse_v:17.98 psnr_avg:23.68 psnr_y:22.00 psnr_u:37.03 psnr_v:35.58 
n:151 mse_avg:299.69 mse_y:441.75 mse_u:13.00 mse_v:18.11 psnr_avg:23.36 psnr_y:21.68 psnr_u:36.99 psnr_v:35.55 
n:152 mse_avg:307.90 mse_y:453.79 mse_u:13.62 mse_v:18.64 psnr_avg:23.25 psnr_y:21.56 psnr_u:36.79 psnr_v:35.43 
n:153 mse_avg:286.69 mse_y:422.29 mse_u:13.58 mse_v:17.41 psnr_avg:23.56 psnr_y:21.87 psnr_u:36.80 psnr_v:35.72 
n:154 mse_avg:260.24 mse_y:382.91 mse_u:13.40 mse_v:16.36 psnr_avg:23.98 psnr_y:22.30 psnr_u:36.86 psnr_v:35.99 
n:155 mse_avg:241.73 mse_y:355.60 mse_u:12.77 mse_v:15.17 psnr_avg:24.30 psnr_y:22.62 psnr_u:37.07 psnr_v:36.32 
n:156 mse_avg:250.14 mse_y:368.31 mse_u:12.66 mse_v:14.93 psnr_avg:24.15 psnr_y:22.47 psnr_u:37.11 psnr_v:36.39 
n:157 mse_avg:235.68 mse_y:346.87 mse_u:12.44 mse_v:14.16 psnr_avg:24.41 psnr_y:22.73 psnr_u:37.18 psnr_v:36.62 
n:158 mse_avg:221.83 mse_y:326.16 mse_u:12.49 mse_v:13.89 psnr_avg:24.67 psnr_y:23.00 psnr_u:37.16 psnr_v:36.71 
n:159 mse_avg:234.96 mse_y:345.85 mse_u:12.51 mse_v:13.87 psnr_avg:24.42 psnr_y:22.74 psnr_u:37.16 psnr_v:36.71 
n:160 mse_avg:252.69 mse_y:372.24 mse_u:12.74 mse_v:14.42 psnr_avg:24.10 psnr_y:22.42 psnr_u:37.08 psnr_v:36.54 
n:161 mse_avg:236.75 mse_y:348.74 mse_u:12.33 mse_v:13.17 psnr_avg:24.39 psnr_y:22.71 psnr_u:37.22 psnr_v:36.94 
n:162 mse_avg:211.92 mse_y:311.70 mse_u:12.33 mse_v:12.39 psnr_avg:24.87 psnr_y:23.19 psnr_u:37.22 psnr_v:37.20 
n:163 mse_avg:204.40 mse_y:300.53 mse_u:12.33 mse_v:11.94 psnr_avg:25.03 psnr_y:23.35 psnr_u:37.22 psnr_v:37.36 
n:164 mse_avg:217.83 mse_y:320.55 mse_u:12.59 mse_v:12.23 psnr_avg:24.75 psnr_y:23.07 psnr_u:37.13 psnr_v:37.26 
n:165 mse_avg:215.11 mse_y:316.78 mse_u:12.18 mse_v:11.36 psnr_avg:24.80 psnr_y:23.12 psnr_u:37.28 psnr_v:37.58 
n:166 mse_avg:204.88 mse_y:301.56 mse_u:11.94 mse_v:11.08 psnr_avg:25.02 psnr_y:23.34 psnr_u:37.36 psnr_v:37.69 
n:167 mse_avg:181.35 mse_y:266.46 mse_u:11.58 mse_v:10.66 psnr_avg:25.55 psnr_y:23.87 psnr_u:37.49 psnr_v:37.85 
